"","Cluster","direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"38","up","up","mmu04530","Tight junction","28/531","167/8943",4.86918252588438e-07,7.49854108986195e-05,6.27868273074565e-05,"12695/21873/14924/68188/218518/26408/105787/102098/73699/17356/27494/56217/68178/18762/72058/76089/12737/12738/17999/18260/93742/18747/19684/71978/60595/108079/217325/19079",28
"39","up","up","mmu04120","Ubiquitin mediated proteolysis","25/531","147/8943",1.52949023841386e-06,0.000157027664477157,0.000131482494179437,"231672/14897/56317/73998/69288/12189/80794/22200/56791/140629/17999/66515/71745/67345/67455/140630/69807/12211/217342/12234/13194/242521/70790/63958/17222",25
"40","up","up","mmu04520","Adherens junction","15/531","71/8943",1.36389703897097e-05,0.00105020072000765,0.000879354669862861,"16337/58235/12385/12550/380928/17356/12914/17295/227377/21813/93742/20411/60595/19294/19268",15
"41","up","up","mmu04976","Bile secretion","18/531","100/8943",2.01994731074187e-05,0.00124428754341699,0.00104186756027739,"230161/16835/18671/12780/18670/18669/28254/11515/54403/20525/18747/11514/20181/12349/20778/76408/320024/67470",18
"42","up","up","mmu01200","Carbon metabolism","20/531","121/8943",2.62001057956461e-05,0.0013449387641765,0.00112614489823391,"104174/100198/12974/108682/18641/14120/110639/18293/18563/11429/14719/11428/15926/227231/14661/110446/225913/14194/21881/17448",20
"43","up","up","mmu01212","Fatty acid metabolism","13/531","62/8943",5.54867978227357e-05,0.00244141910420037,0.00204425044610079,"97212/74205/12896/71147/107476/57874/12894/14081/433256/54325/110446/231086/11370",13
"44","up","up","mmu04211","Longevity regulating pathway","16/531","90/8943",6.77255763882805e-05,0.0026074346909488,0.00218325871251694,"16337/105787/22084/11515/56717/18709/208677/18747/11514/208647/68465/12915/74370/75747/108079/19079",16
"45","up","up","mmu01210","2-Oxocarboxylic acid metabolism","7/531","20/8943",9.82960987344245e-05,0.00336391093446697,0.00281667183508,"12974/108682/11429/14719/217214/11428/15926",7
"46","up","up","mmu04922","Glucagon signaling pathway","17/531","104/8943",0.000120416575404297,0.00370883052245234,0.00310548010253186,"105787/12315/110078/18641/12914/19013/110094/107476/14120/12894/16438/20525/208677/18747/208647/108079/19079",17
"47","up","up","mmu04152","AMPK signaling pathway","19/531","126/8943",0.00014877088262429,0.0041476305228971,0.00347289637084685,"16337/105787/73699/15378/22084/18641/107476/14120/16890/12894/56717/18709/208677/208647/68465/74370/71978/108079/19079",19
